Dialogue_ID,Usefulness_score
5417,4.0
5422,5.0
5423,3.0
5428,4.0
5429,4.0
5430,4.0
5433,5.0
5434,3.0
5438,4.0
5441,4.0
5443,4.0
5444,5.0
5445,4.0
5446,2.0
5447,4.0
5448,5.0
5455,4.0
5457,5.0
5458,3.0
5459,5.0
5461,4.0
5465,3.0
5466,1.0
5468,4.0
5469,4.0
5470,2.0
5476,3.0
5478,4.0
5480,3.0
5481,5.0
5482,4.0
5484,4.0
5485,5.0
5486,1.0
5488,3.0
5489,2.0
5490,3.0
5492,2.0
5494,4.0
5496,1.0
5500,4.0
5501,4.0
5503,2.0
5504,3.0
5505,4.0
5506,2.0
5507,5.0
5508,5.0
5509,5.0
5510,2.0
5513,4.0
5514,4.0
5518,5.0
5520,4.0
5523,3.0
5533,2.0
5534,2.0
5535,3.0
5537,4.0
5542,5.0
5545,4.0
5550,3.0
5554,3.0
5558,2.0
5559,3.0
5566,5.0
5567,3.0
5570,3.0
5572,4.0
5573,3.0
5577,4.0
5581,4.0
5583,4.0
5587,5.0
5589,4.0
5591,4.0
5592,5.0
5601,5.0
5607,3.0
5608,3.0
5611,4.0
5614,4.0
5615,2.0
5616,3.0
5617,2.0
5618,4.0
5619,3.0
5621,3.0
5622,3.0
5623,1.0
5624,4.0
5626,4.0
5627,4.0
5628,4.0
5630,2.0
5631,3.0
5632,5.0
5633,4.0
5635,4.0
5639,4.0
5647,3.0
5651,3.0
5652,5.0
5654,3.0
5655,5.0
5656,5.0
5659,5.0
5667,4.0
5668,3.0
5670,3.0
5672,2.0
5677,4.0
5678,5.0
5679,5.0
5684,4.0
5686,3.0
5687,2.0
5688,1.0
5691,4.0
5692,4.0
5695,5.0
5699,2.0
5701,4.0
5705,4.0
5706,5.0
5708,5.0
5709,3.0
5710,5.0
5712,2.0
5713,4.0
5715,3.0
5721,5.0
5723,5.0
5729,4.0
5732,3.0
5737,4.0
5738,5.0
5742,4.0
5747,2.0
5748,4.0
5752,4.0
5753,3.0
5754,4.0
5755,4.0
5758,5.0
5763,4.0
5764,4.0
5766,3.0
5767,4.0
5770,5.0
5771,4.0
5772,4.0
5775,4.0
5776,4.0
5783,4.0
5785,5.0
5786,4.0
5788,5.0
5800,5.0
5801,4.0
5804,3.0
5807,5.0
5808,3.0
5809,4.0
5816,4.0
5818,4.0
5821,5.0
5822,4.0
5826,4.0
5828,3.0
5830,4.0
5832,3.0
5833,4.0
5836,3.0
5838,3.0
5842,4.0
5843,4.0
5845,3.0
5847,4.0
5854,3.0
5856,4.0
5857,2.0
5858,4.0
5859,2.0
5864,3.0
5866,3.0
5868,5.0
5869,4.0
5870,5.0
5871,3.0
5875,4.0
5876,3.0
5879,4.0
5880,5.0
5884,5.0
5885,4.0
5890,2.0
5891,4.0
5893,4.0
5895,3.0
5901,3.0
5903,4.0
5904,2.0
5910,4.0
5912,5.0
5925,5.0
5927,4.0
5933,2.0
5942,4.0
5944,2.0
5945,5.0
5947,4.0
5950,4.0
5951,4.0
5953,4.0
5961,5.0
5962,3.0
5965,4.0
5970,3.0
5974,5.0
5978,3.0
5979,2.0
5981,4.0
5983,4.0
5984,5.0
5986,1.0
5988,2.0
5989,3.0
5994,3.0
5996,1.0
5997,5.0
5999,2.0
6002,4.0
6003,3.0
6009,4.0
6010,3.0
6011,3.0
6014,2.0
6019,2.0
6022,5.0
6023,4.0
6024,3.0
6027,3.0
6028,5.0
6033,3.0
6037,4.0
6039,4.0
6040,3.0
6043,3.0
6044,5.0
6045,4.0
6050,4.0
6057,2.0
6058,5.0
6059,5.0
6061,5.0
6068,5.0
6073,3.0
6074,4.0
6075,1.0
6077,4.0
6078,4.0
6083,3.0
6084,4.0
6086,3.0
6088,5.0
6089,5.0
6091,3.0
6093,4.0
6094,5.0
6095,5.0
6099,5.0
6101,3.0
6105,3.0
6109,4.0
6115,4.0
6120,2.0
6122,3.0
6123,4.0
6124,3.0
6125,4.0
6128,4.0
6138,3.0
6142,4.0
6143,4.0
6146,5.0
6147,4.0
6149,5.0
6153,5.0
6157,1.0
6158,3.0
6159,1.0
6163,4.0
6164,4.0
6167,3.0
6170,3.0
6182,3.0
6184,5.0
6186,5.0
6187,4.0
6189,2.0
6192,4.0
6201,4.0
